,RA,DEC,z,mstar,plugmag_r,specmag_r,flux,flux_plugmag,comoving_distance,completeness,environment,cluster_mass,cluster_name
1042,148.50906,-1.0035186,0.09160395,10.410638,19.1196,18.424816,0.00015490838,8.168849e-05,396.6570937427138,0.8730150720186873,Field,,
1043,148.5592,-0.76021665,0.15304284,11.08187,19.3327,18.351505,0.00016572827,6.713045e-05,652.6848582795577,0.8685356038805694,Field,,
1044,148.43988,-1.070231,0.08978253,10.5349455,18.7093,17.835043,0.00026667453,0.000119201715,388.9429522406656,0.9025098672766211,Field,,
1045,148.44055,-0.8035166,0.08706105,10.881601,18.0698,17.13689,0.0005072735,0.00021482304,377.40363141571027,0.9409780750081203,Field,,
1046,148.50864,-0.8922244,0.09035492,11.1751175,17.2677,16.6184,0.0008177859,0.0004496968,391.36792502746204,0.9457814419375122,Field,,
1047,148.49489,-1.0809097,0.110195816,10.854014,18.4883,17.52245,0.0003556474,0.00014610954,474.9912982514769,0.9289083969821402,Field,,
1048,148.5044,-0.7917225,0.0891128,9.847684,19.3537,18.614397,0.0001300896,6.58448e-05,386.1047263674979,0.873179787616676,Field,,
1049,148.50002,-0.74543923,0.1375618,10.967338,18.9568,17.953197,0.00023917906,9.490294e-05,588.9405241618754,0.888918534231584,Field,,
1050,148.454,-0.7959359,0.089408614,10.33737,18.0748,17.105835,0.00052199536,0.00021383654,387.3584583039995,0.9414718372444316,Field,,
1051,149.06944,-0.5549998,0.08851489,10.821438,17.7063,17.002132,0.0005743142,0.00030024917,383.57000813077366,0.9427920458226113,Field,,
1052,149.06937,-0.233999,0.0887442,10.440434,18.4585,17.409845,0.00039451508,0.00015017563,384.5422179165492,0.9341021897045481,Field,,
1053,149.09029,-0.25137207,0.02139691,9.548556,17.8525,17.109493,0.00052023993,0.00026242223,94.22332092933209,0.9414139540183832,Field,,
1054,149.1053,-0.36742264,0.0908874,10.5843,18.6915,17.680466,0.00030747792,0.000121171564,393.62317561046825,0.9178321040029425,Field,,
1056,149.06268,-0.029201504,0.06383968,10.2292,17.7529,17.176048,0.0004893064,0.00028763473,278.3010226303958,0.9402950876933662,Field,,
1057,149.11249,0.1297301,0.04578607,10.036804,18.1911,17.315111,0.0004304839,0.00019211434,200.46333022795883,0.9371367847215046,Field,,
1058,149.01974,-0.5964442,0.084216736,11.167647,17.1233,16.355465,0.0010418772,0.00051366724,365.32658995091447,0.9467466967229164,Field,,
1059,149.04382,-0.62281597,0.09358854,10.56361,18.6263,17.892662,0.00025289194,0.0001286702,405.0542083516756,0.8959829238232467,Field,,
1060,149.02544,-0.12057915,0.083820626,10.295697,18.1499,17.425522,0.00038885907,0.00019954429,363.6433229572329,0.9335069745286914,Field,,
1061,149.0197,-0.23986022,0.08186871,10.619458,18.2195,17.274487,0.0004468971,0.00018715505,355.34377261406985,0.9381925147827974,Field,,
